;created_at;sentiment_word_count;sentiment_comparative;sentiment_score;sentiment_positive_count;sentiment_tokens;text;_msgid;retweet_count;sentiment_negative_count
49;Tue Jan 31 13:08:22 +0000 2017;6.0;54.166666666666664;13.0;5.0;24.0;"Delighted to read that TheCityUK has switched sides on the Brexit debate and is now backing Brexit as ""a great opportunity"".  Good call.";fdcc3fa1.487a5;0.0;0.0
50;Tue Jan 31 13:26:35 +0000 2017;8.0;-113.04347826086956;-26.0;1.0;23.0;RT @WillesdenHerald: Fuck Brexit. Fuck Trump. Fuck Putin. Fuck Le Pen. Fuck Wilders. Fuck Farage. And if you support them, Fuck You. We're…;64cfb5c9.c043ac;0.0;7.0
51;Tue Jan 31 13:17:58 +0000 2017;6.0;-26.923076923076923;-7.0;2.0;26.0;Am watching sky news labour talking bout brexit and twat speaking now is so dull no passion falling asleep for God sake u taking so slow;92d4d504.6b2d28;0.0;4.0
52;Tue Jan 31 13:23:20 +0000 2017;6.0;-16.666666666666664;-4.0;1.0;24.0;"@Livlonanprsper @AdamBienkov no no no! Lab voters didn't vote for it &amp; many Lab Leave voters won't want the consequences of a hard Brexit.";2c318c77.3fa0e4;0.0;5.0
53;Tue Jan 31 13:25:51 +0000 2017;6.0;-17.391304347826086;-4.0;1.0;23.0;You lied to the voters.  They were misled.  They cannot trust you.  MPs should face criminal penalties for lying. https://t.co/K7evTqRJhS;c00d06b9.f96768;0.0;2.0
54;Tue Jan 31 13:18:44 +0000 2017;6.0;-31.818181818181817;-7.0;1.0;22.0;RT @HongKongHermit: What's that? The Leave campaign shared fascist propaganda? It's almost as if Brexit really was just about racism an… ;67c510b4.cd824;0.0;4.0
55;Tue Jan 31 13:28:02 +0000 2017;10.0;-10.0;-3.0;0.0;30.0;RT @daveburns422: It's time to march .. all  protests as 1 waspi  . NHS .. brexit .. the attack comes from one side ... we march from… ;34c86019.415c1;0.0;2.0
56;Tue Jan 31 13:28:02 +0000 2017;10.0;-10.0;-3.0;0.0;30.0;RT @daveburns422: It's time to march .. all  protests as 1 waspi  . NHS .. brexit .. the attack comes from one side ... we march from… ;3292a2f1.17395e;0.0;2.0
57;Tue Jan 31 13:37:00 +0000 2017;6.0;-26.08695652173913;-6.0;0.0;23.0;@nickdearden75 @followMFJ @Another_Europe  mistaking the symptoms for the disease.  Racism on the march across EU states.  Not due to Brexit;e7aa18eb.64f8c8;0.0;3.0
58;Tue Jan 31 13:28:22 +0000 2017;6.0;0.0;0.0;0.0;18.0;Britain to have closest possible nuclear ties post-Brexit, says minister\n       https://t.co/Ptnb50YECS https://t.co/cS3vqpBpww;592e2a01.767874;0.0;0.0
59;Tue Jan 31 13:33:37 +0000 2017;5.0;-37.03703703703704;-10.0;0.0;27.0;RT @BENEFITS_NEWS: @tim_forte @redflag3rd I see your view - you can't deny it is a hard one. Public are in uproar - if Brexit failed - riot…;f1c2f00.c89a21;0.0;5.0
60;Tue Jan 31 13:44:13 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;9ad6a836.a6f888;0.0;1.0
61;Tue Jan 31 13:45:53 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;b51e99bd.4ea4c8;0.0;1.0
62;Tue Jan 31 13:42:45 +0000 2017;27.0;-10.81081081081081;-4.0;0.0;37.0;RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;5c3c8e9d.6a083;0.0;1.0
63;Tue Jan 31 13:46:26 +0000 2017;17.0;16.666666666666664;5.0;2.0;30.0;@Ed_Miliband @nadhimzahawi   just great that this HIT Nadhim    CLOSE borders    he supports  staunchly BREXIT       KARMA;787491e6.adfca;0.0;0.0
64;Tue Jan 31 13:44:49 +0000 2017;10.0;11.538461538461538;3.0;2.0;26.0;@sarahwollaston @nadhimzahawi  c'mon     did nadhim not staunchly promoted BREXIT.  Same end result. Don't cry! Cookie from own dough  lol;f4c8abca.d98898;0.0;1.0
65;Tue Jan 31 13:47:21 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;c1d9ae0d.4e89b;0.0;1.0
66;Tue Jan 31 13:49:00 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;20c14171.3dc8ae;0.0;1.0
67;Tue Jan 31 13:49:50 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;14c193b.018f86c;0.0;1.0
68;Tue Jan 31 13:51:27 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;9e04e649.a956f8;0.0;1.0
69;Tue Jan 31 13:52:05 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;e6410996.049ca8;0.0;1.0
70;Tue Jan 31 14:01:55 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;e1772aa9.4c7a58;0.0;1.0
71;Tue Jan 31 14:05:00 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;5386eda0.18c344;0.0;1.0
72;Tue Jan 31 14:01:58 +0000 2017;10.0;-10.0;-3.0;0.0;30.0;RT @daveburns422: It's time to march .. all  protests as 1 waspi  . NHS .. brexit .. the attack comes from one side ... we march from… ;5b2ecfd2.22546;0.0;2.0
73;Tue Jan 31 14:00:50 +0000 2017;10.0;0.0;0.0;0.0;24.0;MEPs in bid to force UK to meet environmental regulations after Brexit      #HVWEnvironment      https://t.co/Ja6gz3QjS1;7b6c7010.0cfe;0.0;0.0
74;Tue Jan 31 14:04:02 +0000 2017;8.0;-45.83333333333333;-11.0;1.0;24.0;UK Progressives: DUMP TRUMP! HE'S VILE AND A DANGEROUS PRESIDENT! REFUGEES WELCOME!  ME: But Brexit....  ALSO ME: Fix ur racist shit 1st;8e31c692.8a7178;0.0;5.0
75;Tue Jan 31 14:07:20 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;48d78b74.361b44;0.0;1.0
76;Tue Jan 31 14:15:49 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;74e3b5c2.6e60dc;0.0;1.0
77;Tue Jan 31 14:11:27 +0000 2017;8.0;-5.263157894736842;-1.0;1.0;19.0;"Just In&gt;&gt; ""\nLabour MPs warned: Vote for Brexit or spark 'civil unrest'\n      "" \nhttps://t.co/XgkwNJqq9t";7e359467.4cc14c;0.0;1.0
78;Tue Jan 31 14:14:11 +0000 2017;8.0;-5.263157894736842;-1.0;1.0;19.0;"New post: ""\nLabour MPs warned: Vote for Brexit or spark 'civil unrest'\n      "" \nhttps://t.co/lR0Do1u1Rn";2e684d31.fc1d22;0.0;1.0
79;Tue Jan 31 14:13:30 +0000 2017;8.0;-5.555555555555555;-1.0;1.0;18.0;Labour MPs warned: Vote for Brexit or spark 'civil unrest'\n       https://t.co/Ptnb50YECS https://t.co/cS3vqpBpww;ef0fb98e.c4f008;0.0;1.0
80;Tue Jan 31 14:23:27 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;8577c252.f2b34;0.0;1.0
81;Tue Jan 31 14:21:15 +0000 2017;11.0;-15.789473684210526;-3.0;2.0;19.0;all night drinking ??   whilst  voting on such  huge matters  disgusting contempt  https://t.co/Vzf03DBCqy;d05d66b1.d1f1c8;0.0;2.0
82;Tue Jan 31 14:27:03 +0000 2017;7.0;-18.181818181818183;-4.0;0.0;22.0;Anyone watching . @nick_clegg .... I am finding his claptrap very offensive as no doubt do the other #brexit-go …  https://t.co/W1YE23eRxV;460a964f.99bb98;0.0;3.0
83;Tue Jan 31 14:21:55 +0000 2017;6.0;-11.538461538461538;-3.0;2.0;26.0;"Brexit is like that stupid youtube burns craze. It's going to hurt &amp; leave scars but people still hellbent on doing it anyway to save face.";bc16cff6.b5e73;0.0;4.0
84;Tue Jan 31 14:22:48 +0000 2017;6.0;-30.434782608695656;-7.0;0.0;23.0;"RT @john70297834: @WeAreOneEU 29% UK population failed to vote &amp; &gt;18's, expats excluded. No mandate to leave EU exists full stop. Bas… ";1a6001b7.5e9ffe;0.0;5.0
85;Tue Jan 31 14:27:30 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;9bec5870.a170c8;0.0;1.0
86;Tue Jan 31 14:32:29 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;ac76ddb5.3b581;0.0;1.0
87;Tue Jan 31 14:34:05 +0000 2017;7.0;-16.666666666666664;-4.0;0.0;24.0;RT @annispice: Anyone watching . @nick_clegg .... I am finding his claptrap very offensive as no doubt do the other #brexit-go …  https://t…;a4910e36.260db;0.0;3.0
88;Tue Jan 31 14:30:35 +0000 2017;6.0;30.76923076923077;8.0;5.0;26.0;RT @cayfco: If you want a good laugh.. listen to this drunken twats speech.. I hope he stays alive long enough to see Brexit in… ;a8dfe282.72c7d;0.0;0.0
89;Tue Jan 31 14:33:53 +0000 2017;6.0;-30.76923076923077;-8.0;1.0;26.0;RT @FUCK0FFEE: Any fucking excuse to put the prices up. Brexit my ass.\nThe impact is cos of shit like this.\nPs. No you are not an… ;2f0c7d1b.5bfff2;0.0;4.0
90;Tue Jan 31 14:37:27 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;8c013d4b.768a6;0.0;1.0
91;Tue Jan 31 14:44:02 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;f3354fb9.1a215;0.0;1.0
92;Tue Jan 31 14:42:15 +0000 2017;13.0;-7.4074074074074066;-2.0;0.0;27.0;DAILY MAIL - \nNumber of European nurses fallen by 92% after Brexit\n       \nhttps://t.co/KnKqyhF8QN\n       #PaginaNuova #Press;a3265a01.e82308;0.0;1.0
93;Tue Jan 31 14:43:08 +0000 2017;7.0;-12.5;-2.0;0.0;16.0;Number of European nurses fallen by 92% after Brexit\n       \nhttps://t.co/QxQ2Z8zlkL;e58b4f1.7f4dfb;0.0;1.0
94;Tue Jan 31 14:44:58 +0000 2017;7.0;-12.5;-2.0;0.0;16.0;Number of European nurses fallen by 92% after Brexit\n       :\nhttps://t.co/JzZOBLSAyT;abf2af52.0e46b;0.0;1.0
95;Tue Jan 31 14:47:50 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;c63768ce.454618;0.0;1.0
96;Tue Jan 31 14:49:37 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;56e1f97.14a5c08;0.0;1.0
97;Tue Jan 31 14:53:30 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;ce774c0a.7c26d;0.0;1.0
98;Tue Jan 31 14:54:23 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;ddc8f0e3.84b65;0.0;1.0
99;Tue Jan 31 14:54:39 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;9ba73d04.dc524;0.0;1.0
100;Tue Jan 31 14:57:17 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;fce6d1f0.512e2;0.0;1.0
101;Tue Jan 31 14:57:47 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;6b7a3c81.1039f4;0.0;1.0
102;Tue Jan 31 15:06:56 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;a45e2987.25afe8;0.0;1.0
103;Tue Jan 31 15:04:01 +0000 2017;8.0;-5.88235294117647;-1.0;1.0;17.0;Labour MPs warned: Vote for Brexit or spark 'civil unrest'\n       \nhttps://t.co/wyAXrbh4Zd;74ea0d3a.abcc34;0.0;1.0
104;Tue Jan 31 15:01:28 +0000 2017;6.0;-39.130434782608695;-9.0;0.0;23.0;RT @UNGeneva: #Brexit brings a risk to human rights protection against toxic pollution – warns @UN expert at the end of visit:… ;ed5d31cc.352ef;0.0;4.0
105;Tue Jan 31 15:07:20 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;d0520588.2503e8;0.0;1.0
106;Tue Jan 31 15:09:45 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;ce73db49.49fb38;0.0;1.0
107;Tue Jan 31 15:16:37 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;aad452c0.f9c3;0.0;1.0
108;Tue Jan 31 15:16:40 +0000 2017;27.0;-10.256410256410255;-4.0;0.0;39.0;RT @RoyChubbsBrown: RT if you couldn't give a shit about Brexit                           #YFB https://t.co/hf4Y0987Hk;371ee675.e1baba;0.0;1.0
109;Tue Jan 31 15:13:34 +0000 2017;16.0;6.451612903225806;2.0;3.0;31.0;Donald Trump should make a State Visit to the UK.            Share, Sigh, Support his visit- allow #Trump #brexit . https://t.co/L9UXUuBMyD;c515344c.4690d8;0.0;1.0
